ENSMUSG00000000001	2912
ENSMUSG00000000003	0
ENSMUSG00000000028	229
ENSMUSG00000000031	0
ENSMUSG00000000037	9
ENSMUSG00000000049	3
ENSMUSG00000000056	1601
ENSMUSG00000000058	21
ENSMUSG00000000078	33515
ENSMUSG00000000085	902
ENSMUSG00000000088	596
ENSMUSG00000000093	15
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	1
ENSMUSG00000000125	4
ENSMUSG00000000126	1
ENSMUSG00000000127	31
ENSMUSG00000000131	5098
ENSMUSG00000000134	1090
ENSMUSG00000000142	1345
ENSMUSG00000000148	744
ENSMUSG00000000149	1186
ENSMUSG00000000154	63
ENSMUSG00000000157	83
ENSMUSG00000000159	1383
ENSMUSG00000000167	13
ENSMUSG00000000168	1106
ENSMUSG00000000171	1559
ENSMUSG00000000182	3
ENSMUSG00000000183	0
ENSMUSG00000000184	22704
ENSMUSG00000000194	1873
ENSMUSG00000000197	0
ENSMUSG00000000202	4
ENSMUSG00000000204	25
ENSMUSG00000000214	1
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	9
ENSMUSG00000000244	44
ENSMUSG00000000247	2
ENSMUSG00000000248	0
ENSMUSG00000000253	4
ENSMUSG00000000263	0
ENSMUSG00000000266	66
ENSMUSG00000000275	2374
ENSMUSG00000000276	1246
ENSMUSG00000000278	710
ENSMUSG00000000282	2091
ENSMUSG00000000290	12698
ENSMUSG00000000295	160
ENSMUSG00000000296	8
ENSMUSG00000000301	5
ENSMUSG00000000303	11946
ENSMUSG00000000305	1
ENSMUSG00000000308	1530
ENSMUSG00000000317	4
ENSMUSG00000000318	295
ENSMUSG00000000320	1
ENSMUSG00000000325	143
ENSMUSG00000000326	897
ENSMUSG00000000339	284
ENSMUSG00000000340	549
ENSMUSG00000000346	11815
ENSMUSG00000000355	705
ENSMUSG00000000359	0
ENSMUSG00000000365	27
ENSMUSG00000000374	5143
ENSMUSG00000000378	3019
ENSMUSG00000000381	0
ENSMUSG00000000384	1708
ENSMUSG00000000385	496
ENSMUSG00000000386	211
ENSMUSG00000000392	24
ENSMUSG00000000394	91
ENSMUSG00000000399	1214
ENSMUSG00000000402	1
ENSMUSG00000000409	27626
ENSMUSG00000000411	8
ENSMUSG00000000416	28
ENSMUSG00000000420	5044
ENSMUSG00000000435	1
ENSMUSG00000000439	1345
ENSMUSG00000000440	9
ENSMUSG00000000441	7569
ENSMUSG00000000486	15727
ENSMUSG00000000489	185
ENSMUSG00000000530	20
ENSMUSG00000000531	1285
ENSMUSG00000000532	1774
ENSMUSG00000000538	1346
ENSMUSG00000000544	622
ENSMUSG00000000552	73
ENSMUSG00000000555	188
ENSMUSG00000000560	4
ENSMUSG00000000561	1724
ENSMUSG00000000562	13
ENSMUSG00000000563	4841
ENSMUSG00000000567	111
ENSMUSG00000000568	7263
ENSMUSG00000000579	1224
ENSMUSG00000000581	401
ENSMUSG00000000594	2429
ENSMUSG00000000600	3180
ENSMUSG00000000605	2099
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	219
ENSMUSG00000000628	502
ENSMUSG00000000631	1193
ENSMUSG00000000632	3
ENSMUSG00000000673	153
ENSMUSG00000000682	5627
ENSMUSG00000000686	186
ENSMUSG00000000690	18
ENSMUSG00000000693	336
ENSMUSG00000000701	0
ENSMUSG00000000706	1
ENSMUSG00000000708	1604
ENSMUSG00000000711	3158
ENSMUSG00000000724	2
ENSMUSG00000000730	1
ENSMUSG00000000731	7
ENSMUSG00000000732	1308
ENSMUSG00000000738	2635
ENSMUSG00000000739	4
ENSMUSG00000000740	8976
ENSMUSG00000000743	2937
ENSMUSG00000000751	8334
ENSMUSG00000000753	33
ENSMUSG00000000759	4153
ENSMUSG00000000766	42
ENSMUSG00000000776	614
ENSMUSG00000000782	4046
ENSMUSG00000000787	30044
ENSMUSG00000000791	3109
ENSMUSG00000000792	10
ENSMUSG00000000794	0
ENSMUSG00000000804	1754
ENSMUSG00000000805	303
ENSMUSG00000000811	120
ENSMUSG00000000817	8411
ENSMUSG00000000823	2024
ENSMUSG00000000826	6732
ENSMUSG00000000827	1107
ENSMUSG00000000838	3057
ENSMUSG00000000861	390
ENSMUSG00000000869	9
ENSMUSG00000000876	369
ENSMUSG00000000881	595
ENSMUSG00000000884	188
ENSMUSG00000000889	0
ENSMUSG00000000901	185
ENSMUSG00000000902	2324
ENSMUSG00000000903	65
ENSMUSG00000000915	17234
ENSMUSG00000000916	444
ENSMUSG00000000934	227
ENSMUSG00000000938	2
ENSMUSG00000000942	4
ENSMUSG00000000948	309
ENSMUSG00000000957	111
ENSMUSG00000000958	165
ENSMUSG00000000959	1817
ENSMUSG00000000976	2416
ENSMUSG00000000982	4574
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	1776
ENSMUSG00000001017	5405
ENSMUSG00000001018	1564
ENSMUSG00000001020	4
ENSMUSG00000001021	0
ENSMUSG00000001023	1
ENSMUSG00000001025	78
ENSMUSG00000001027	4
ENSMUSG00000001029	309
ENSMUSG00000001034	893
ENSMUSG00000001036	111
ENSMUSG00000001039	12
ENSMUSG00000001052	3948
ENSMUSG00000001053	444
ENSMUSG00000001054	1946
ENSMUSG00000001056	576
ENSMUSG00000001062	1334
ENSMUSG00000001065	1622
ENSMUSG00000001076	0
ENSMUSG00000001082	4125
ENSMUSG00000001089	2423
ENSMUSG00000001095	29
ENSMUSG00000001098	1538
ENSMUSG00000001100	750
ENSMUSG00000001103	0
ENSMUSG00000001105	963
ENSMUSG00000001119	0
ENSMUSG00000001120	156
ENSMUSG00000001123	4972
ENSMUSG00000001127	7005
ENSMUSG00000001128	475
ENSMUSG00000001131	0
ENSMUSG00000001134	237
ENSMUSG00000001138	1384
ENSMUSG00000001143	1309
ENSMUSG00000001150	4265
ENSMUSG00000001151	3891
ENSMUSG00000001155	0
ENSMUSG00000001156	12438
ENSMUSG00000001157	991
ENSMUSG00000001158	891
ENSMUSG00000001166	443
ENSMUSG00000001168	0
ENSMUSG00000001173	956
ENSMUSG00000001175	13981
ENSMUSG00000001211	3029
ENSMUSG00000001225	232
ENSMUSG00000001227	438
ENSMUSG00000001228	658
ENSMUSG00000001229	2679
ENSMUSG00000001240	0
ENSMUSG00000001247	131
ENSMUSG00000001248	33813
ENSMUSG00000001249	2
ENSMUSG00000001260	0
ENSMUSG00000001270	882
ENSMUSG00000001280	5168
ENSMUSG00000001281	19369
ENSMUSG00000001285	670
ENSMUSG00000001288	778
ENSMUSG00000001289	7597
ENSMUSG00000001300	220
ENSMUSG00000001305	330
ENSMUSG00000001313	39
ENSMUSG00000001323	304
ENSMUSG00000001333	5
ENSMUSG00000001334	15
ENSMUSG00000001348	1501
ENSMUSG00000001349	0
ENSMUSG00000001366	2276
ENSMUSG00000001376	726
ENSMUSG00000001379	1378
ENSMUSG00000001380	1811
ENSMUSG00000001383	2242
ENSMUSG00000001403	169
ENSMUSG00000001415	5298
ENSMUSG00000001416	4267
ENSMUSG00000001417	5
ENSMUSG00000001418	2712
ENSMUSG00000001419	7265
ENSMUSG00000001420	34
ENSMUSG00000001424	3502
ENSMUSG00000001435	16
ENSMUSG00000001436	290
ENSMUSG00000001440	7999
ENSMUSG00000001441	2792
ENSMUSG00000001444	8920
ENSMUSG00000001445	963
ENSMUSG00000001467	8412
ENSMUSG00000001472	14468
ENSMUSG00000001473	365
ENSMUSG00000001482	863
ENSMUSG00000001493	0
ENSMUSG00000001494	0
ENSMUSG00000001496	25
ENSMUSG00000001497	3
ENSMUSG00000001504	0
ENSMUSG00000001506	92
ENSMUSG00000001507	861
ENSMUSG00000001508	0
ENSMUSG00000001510	1
ENSMUSG00000001517	525
ENSMUSG00000001518	767
ENSMUSG00000001520	71
ENSMUSG00000001521	46
ENSMUSG00000001524	302
ENSMUSG00000001525	8565
ENSMUSG00000001542	1802
ENSMUSG00000001552	615
ENSMUSG00000001555	0
ENSMUSG00000001558	28
ENSMUSG00000001566	11
ENSMUSG00000001569	1235
ENSMUSG00000001576	2310
ENSMUSG00000001583	64
ENSMUSG00000001588	32421
ENSMUSG00000001604	128
ENSMUSG00000001622	0
ENSMUSG00000001627	11539
ENSMUSG00000001630	664
ENSMUSG00000001632	3101
ENSMUSG00000001642	2207
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	7
ENSMUSG00000001661	2
ENSMUSG00000001663	59
ENSMUSG00000001665	65
ENSMUSG00000001666	349
ENSMUSG00000001670	1
ENSMUSG00000001672	53
ENSMUSG00000001674	1428
ENSMUSG00000001687	2750
ENSMUSG00000001700	220
ENSMUSG00000001707	314
ENSMUSG00000001729	4849
ENSMUSG00000001739	777
ENSMUSG00000001741	2341
ENSMUSG00000001750	10011
ENSMUSG00000001751	177
ENSMUSG00000001755	487
ENSMUSG00000001761	55
ENSMUSG00000001763	10
ENSMUSG00000001767	1652
ENSMUSG00000001768	115
ENSMUSG00000001773	0
ENSMUSG00000001774	6849
ENSMUSG00000001783	2683
ENSMUSG00000001785	782
ENSMUSG00000001786	1116
ENSMUSG00000001794	7964
ENSMUSG00000001802	1
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	1
ENSMUSG00000001827	0
ENSMUSG00000001829	481
ENSMUSG00000001833	8767
ENSMUSG00000001844	1163
ENSMUSG00000001847	6686
ENSMUSG00000001855	3203
ENSMUSG00000001864	1
ENSMUSG00000001865	96
ENSMUSG00000001870	22
ENSMUSG00000001891	1417
ENSMUSG00000001901	4
ENSMUSG00000001909	1845
ENSMUSG00000001910	5608
ENSMUSG00000001911	150
ENSMUSG00000001918	12556
ENSMUSG00000001924	10258
ENSMUSG00000001930	174
ENSMUSG00000001942	636
